timestamp,b00,pred_reg,pred_cls_prob,pred_duration_6h,CCRI,risk_tier
2025-09-19 07:00:00,603.0,694.599924873311,0.0002545957903264277,1,0.3371529011876741,Normal
2025-09-19 08:00:00,690.0,790.28021752956,0.0002584094435561265,2,0.41232763253347493,Normal
2025-09-19 09:00:00,870.0,986.5783788384213,0.00047328856250159596,3,0.5315651013310476,Normal
2025-09-19 10:00:00,1022.0,1126.7084979469353,0.0005152141581699686,4,0.6261888324884873,Normal
2025-09-19 11:00:00,1050.0,1152.898929124881,0.0010165816371099398,4,0.637792116257596,Normal
2025-09-19 12:00:00,1071.0,1143.3765667660562,0.0120199634375211,3,0.6035957418588127,Normal
2025-09-19 13:00:00,1105.0,1194.7792796636688,0.0029599773366563832,3,0.6233557558665858,Normal
2025-09-19 14:00:00,1189.0,1207.057769984954,0.0027809375342360805,2,0.5953379996957646,Normal
2025-09-19 15:00:00,1142.0,1206.1178356560195,0.0007660557187940723,1,0.5609891757862548,Normal
2025-09-19 16:00:00,1044.0,1133.8992601065922,0.0011266522063662348,0,0.4961833953936714,Normal
2025-09-19 17:00:00,888.0,1066.5805645604098,5.361442485787865e-06,0,0.46640906188753395,Normal
2025-09-19 18:00:00,743.0,902.9999631390319,3.5408643616334473e-06,0,0.39487598054644857,Normal
2025-09-19 19:00:00,660.0,806.9048767394535,3.5408643616334473e-06,0,0.35285434052564285,Normal
2025-09-19 20:00:00,628.0,750.7230247197638,3.38593042312277e-06,0,0.32828640353483957,Normal
2025-09-19 21:00:00,615.0,731.762776715391,3.386141063462694e-06,0,0.3199952334019618,Normal
2025-09-19 22:00:00,588.0,728.1777211141793,3.541112498908907e-06,0,0.31842756273351325,Normal
2025-09-19 23:00:00,553.0,713.5798923874011,3.3904338057530884e-06,0,0.3120439996329408,Normal
2025-09-20 00:00:00,543.0,701.456859927317,3.3912641196429412e-06,0,0.3067426913023236,Normal
2025-09-20 01:00:00,531.0,689.7142458966263,3.3912641196429412e-06,0,0.30160773676730057,Normal
2025-09-20 02:00:00,520.0,690.4236640801229,3.3912641196429412e-06,0,0.30191795986660813,Normal
2025-09-20 03:00:00,511.0,676.082882972177,3.3919134528433058e-06,0,0.2956468471053359,Normal
2025-09-20 04:00:00,513.0,674.9201633186108,3.3919134528433058e-06,0,0.29513839876986003,Normal
2025-09-20 05:00:00,512.0,687.9819067132614,3.3919134528433058e-06,0,0.3008501984001953,Normal
2025-09-20 06:00:00,508.0,688.6710335160656,3.3919134528433058e-06,0,0.3011515482352505,Normal
2025-09-20 07:00:00,515.0,693.8480133799993,3.3919134528433058e-06,0,0.3034154015953754,Normal
2025-09-20 08:00:00,522.0,733.3922390453826,3.3919134528433058e-06,0,0.3207077864411788,Normal
2025-09-20 09:00:00,539.0,736.845128117232,4.788609357845378e-06,0,0.3222181272060503,Normal
2025-09-20 10:00:00,568.0,727.7547454619618,4.025283068400393e-06,0,0.31824274399473407,Normal
2025-09-20 11:00:00,586.0,715.4045974581741,3.969119945388081e-06,0,0.3128421026907562,Normal
2025-09-20 12:00:00,566.0,753.7091832649982,7.5194676721906665e-06,0,0.32959346769310827,Normal
2025-09-20 13:00:00,563.0,819.7083983808304,5.287845548034043e-06,0,0.3584537458695077,Normal
2025-09-20 14:00:00,579.0,831.7823075969025,5.675825953497683e-06,0,0.3637336896276629,Normal
2025-09-20 15:00:00,613.0,763.4880260987504,4.004466634021869e-06,0,0.33386862573160747,Normal
